label,k,m,sec,file_bytes,records,distinct_kmers
ecoliK12,21,11,0.974,14157720,880758,4543891
ecoliK12_mut005,21,11,0.985,14174840,881828,4556402
ecoliK12_mut01,21,11,0.992,14188200,882663,4567386
ecoliK12_mut05,21,11,0.990,14196776,883199,4620280
ecoliSakai,21,11,1.172,16693192,1039225,5302382
yeast,21,11,2.680,39455784,2461887,11505228
chr21,21,11,8.661,130129528,8128996,32720485
chr22,21,11,8.316,120456888,7524456,30738298
celegans,21,11,23.755,418760008,26168401,91222416
celegans_mut1,21,11,25.347,426904936,26677459,93142148
chr1,21,11,53.802,932503032,58277340,189802224
